Variable Name,Short Description,Long Description (Summarized)
DB080,HOUSEHOLD DESIGN WEIGHT,"Weighting for the first year of each sub-sample Design weights (household weights DB080 and ‘Selected respondent’ weights PB070) The design weights need to be defined for all selected units, not only for responding units. The household design weights aim to draw inference on the household population from the household sample. The design weight of a household (h) is the inverse of its inclusion probability. DB080 is computed as follows: In the case that households are sampled (or addresses or other units containing households): 𝐷𝐵080ℎ = 1 / (probability of selection of h) In the case that persons are sampled: 𝐷𝐵080ℎ = 1 /  (probabilities of selection of eligible persons in h) ‘Eligible persons’ are people who are given a non-zero probability in the selection procedure, such as people aged 16+. When the probability of selection is the same for all eligible people in each household, the denominator is simply the number of such people in the household multiplied by the probability of selection. From the second year onwards (case of a rotational panel) For the households which are not interviewed for the first time, no values are to be given for the design weight and these are to be flagged ‘-2’ (not applicable). In the weight section (8), a more extensive explanation on the weighting procedures is given. Further adjustments taking into consideration non-response or calibration are done DB080 (N). The design weights have to be inflated by the inverse of the response propensities in order to compensate for the loss of units in the sample. A classical procedure consists of modifying the design weights by a factor inversely proportional to the response rate within each ‘homogeneous group’, in which the response probabilities are assumed to be equal: 𝐷𝐵080ℎ (𝑁) = 𝐷𝐵080ℎ ⋅ 1 𝑅𝐾 Where RK denotes s the (weighted) response rate in the group (k) the household (h) belongs to: 𝑅𝐾   =  𝑠𝑢𝑚 𝑜𝑓 𝑑𝑒𝑠𝑖𝑔𝑛 𝑤𝑒𝑖𝑔ℎ𝑡𝑠 𝑜𝑓 𝑟𝑒𝑠𝑝𝑜𝑛𝑑𝑖𝑛𝑔 𝑢𝑛𝑖𝑡𝑠 𝑖𝑛 𝑐𝑒𝑙 𝑘 𝑠𝑢𝑚 𝑜𝑓 𝑑𝑒𝑠𝑖𝑔𝑛 𝑤𝑒𝑖𝑔ℎ𝑡𝑠 𝑜𝑓 𝑠𝑒𝑙𝑒𝑐𝑡𝑒𝑑 𝑢𝑛𝑖𝑡𝑠 𝑖𝑛 𝑐𝑒𝑙𝑙 𝑘 See construction of weights in the first part of section 8: weights."
DB090,HOUSEHOLD CROSS-SECTIONAL WEIGHT,"The household cross-sectional weights are the final estimation weights. Only the households that are accepted into the database (DB135 = 1) have a cross-sectional weight; the others are assigned a weight of 0. The calibration is done taking all rotational groups together. Units of the sub-samples appear in the EU-SILC sample only in situations where a rotational design is used. In this case, sample weights are called ‘cross-sectional’ weights. These weights are required for all the types of units considered in the EU-SILC survey. The household cross-sectional weights (target variable DB090) will be used to draw inference on the population of private households at national and European levels (see the weight for DB080 and then further). After adjustments for non-response and to external sources (calibration) of the household design weight, the cross-sectional household weight (DB090) is calculated. DB090 is used to weigh household data and indicators produced at household level. More precisely, suppose that there are ‘J’ auxiliary variables x1…xj…xJ, called calibration variables, with known population totals (for the numerical variables) or marginal counts (for the categorical variables). Without loss of generality, we can assume that all the calibration variables are numerical (otherwise, we consider the 0/1 variables for each category). New household weights (DB090) are ‘as close as possible’ (as determined by a certain distance function) to the initial weights 𝐷𝐵080(𝑁). These new weights are calibrated on the totals Xj of the ‘J’ auxiliary variables; in other words, they verify the calibration equations: ∀𝑗 = 1 … 𝐽     ∑ 𝐷𝐵090𝑘 ⋅ 𝑥𝑗𝑘   =  𝑋𝑗 𝑘∈𝑠 . Where 𝐷𝐵090𝑘 = 𝑔𝑘 × 𝐷𝐵080(𝑁) This process can be done using different statistical software and different methods (e.g., logit regressions through the SAS macro, CALMAR)."
DB095,HOUSEHOLD LONGITUDINAL WEIGHT,"The household longitudinal weights are the final estimation weights. Only the households that are accepted into the database (DB135 = 1) have a longitudinal weight; the others are assigned a weight of 0. The calibration is done taking all rotational groups separately. The household longitudinal weight DB095 is a product of the first calibration of the population. In year X, after the non-response adjustment that is applied to each rotational group separately, each rotational group should be calibrated separately to the cross-sectional population referring to the end of the year X-1. The calibration should be done using the integrative calibration approach to ensure that each member of the same household receive the same weight. Household longitudinal weights are defined for all households accepted into the database. To combine the calibrated weights, they should be scaled based on the number of rotational groups in the longitudinal sample of the survey. A particular rotational group should be surveyed at least 2 consecutive years before being part of the longitudinal component. Each wave of the longitudinal component contains different numbers of rotational groups (3, 2 and 1). For this reason, household longitudinal weights should be scaled with different scaling factors for each year. The table29 below illustrates the scaling factors and the approximate target population. These weights will be part of D-file as well as part of the longitudinal data set delivered each year. The set consists of at least three panels of duration: 2, 3 and 4 years. The variable DB095 should be adjusted backwards with every data transmission because the number of surveyed rotational groups change with the evolution of the panel. The sum of all non-zero DB095 for year X should be approximately equal to sum of non-zero DB090 for that year. In the weights section, a more extensive explanation of the weighting procedures is given. 29 The table illustrates a classical EU-SILC rotational design with 4 rotational groups. If a country uses rotational design with different numbers of rotational groups the scaling factors should be adjusted accordingly."
DB100,DEGREE OF URBANISATION,"This variable reports on the degree of urbanisation in the area where the usual residence of the person or the household is located. From 2021 onwards the modalities were changed according to the standardised social variables. This variable must be filled in for every household in wave 1. From wave 2 onwards, a missing value (flag -1) is allowed in exceptional cases (like moving house). From 2021 onwards the variable classifies LAU2 into three types of area: 1. 'Cities' - densely-populated areas where at least 50% of the population live in an urban centre. 2. 'Towns and suburbs' - intermediate density areas where at least 50% of the population live in urban clusters, but which are not 'cities'. 3. 'Rural areas' - thinly populated areas where more than 50% of the population live in rural grid cells. This classification is based on a combination of criteria of geographical contiguity and minimum population threshold applied to 1 km2 population grid cells. The LAU2 list including the degree of urbanisation is published by Eurostat on the RAMON server: https://ec.europa.eu/eurostat/ramon/miscellaneous/index.cfm?TargetUrl=DSP_DEGURBA. For further methodological details on the classification of LAU2s by degree of urbanisation, see http://ec.europa.eu/eurostat/web/degree-of-urbanisation/methodology. For further information, see: Local Administrative Units (LAU) - NUTS - Nomenclature of territorial units for statistics - Eurostat (europa.eu) Modalities used before: - Densely populated area: contiguous grid cells of 1km2 with a density of at least 1,500 inhabitants per km2 and a minimum population of 50,000. - Intermediate area: clusters of contiguous grid cells of 1km2 with a density of at least 300 inhabitants per km2 and a minimum population of 5,000. - Thinly-populated area: Grid cells outside urban clusters."
DB110,HOUSEHOLD STATUS,"The household is at the same address as the last interview: This situation appears when at least one of the sample persons lives at the same address as in the previous wave. Entire household moved to a private household within the country: This situation appears when no sample persons live at the same address as in the previous wave, but when the household moved to a private household within the country. Entire household moved to a collective household or institution within the country: This situation appears when all the sample persons moved to a collective household or institution within the country. Household moved outside the country or to territories not covered by the survey: This situation appears when all the sample persons moved outside the country or to territories not covered by the survey. Entire household deceased: This situation occurs when all the sample persons have died. Household does not contain sample person: This situation occurs when sample persons are no longer in scope for a variety of reasons. Address non-contacted: This category distinguishes between households that cannot be accessed and households that are ‘lost’, i.e. no information on record as to what happened to the household. Split-off households: New household which has split off from the initial household since the previous wave and now considered as a separate household. New address added to the sample in this wave or first wave: This situation occurs where for the first time this household is recorded in the survey and is not a split-off household (first wave, new household introduced into the sample in order to maintain the sample size because of loss due to non-response). Fusion: This situation occurs when sample persons from different sample households from the previous wave join together to form a new household. The household that disappears will be coded as ‘fusion household’ while the other one is considered as the main household and keeps the identification number. The household that keeps the identification number will be coded as: ‘1’ (if it remains at the same address as in"
DB120,CONTACT AT ADDRESS,"This variable needs to be filled in only when DB110 = ‘2’, ‘8’, or ‘9’. Otherwise, no values are to be given for this variable and it must be flagged ‘-2’ (not applicable). 11 Address contacted/phone should be used when: - a household has its main residence at the sampled address which can be located and accessed. - an entire household, or a part of the household (split-off household) has moved to a private household within the country and the new address can be accessed. - Computer-assisted telephone interviewing (CATI) is used, and the phone number is available. 21 Address/phone non-contacted: not located/not found should be recorded when: - it is not possible to locate the address despite special efforts being made to do so. - the CATI method is used and the phone number of that household could not be found. 22 Address/phone non-contacted: unable to access should be recorded when: - it is not possible to access the address due to weather factors (like flooding, etc.) or geographic factors, for example, there may be no access roads. The factor causing the lack of access should not be only temporary. - the CATI method is used and the number cannot be reached. 23 Address/phone non-contacted: non-existent/non-residential or non-private/unoccupied/not principal residence should be recorded when: - an address is non-residential if it is used for different purposes than those of a principal residence (business, shop, vacation home, etc.). - an address does not exist if the building has been demolished. - an address is unoccupied or empty if nobody is currently living there. - a CATI interview is used and a phone number does not exist or the phone belongs to a company, shop, hotel, etc. For those countries selecting a sample of persons, such as one from a population register, the goal is to contact these people wherever they live. The status ‘address does not exist, is non-residential, is unoccupied or is not principal residence’ should not be relevant. In the case of death of the selected respondent, the household can be classified as ‘address is unoccupied’."
DB130,HOUSEHOLD QUESTIONNAIRE RESULT,"This variable needs to be filled in only when DB120 = 11 or when DB110 = 1. Otherwise, no values are to be given for this variable and it must be flagged ‘-2’ (not applicable). The information is collected for each address contacted if the household questionnaire is completed, refused, entire household is temporary away, household is unable to respond or the questionnaire is not completed for other reasons. 11 Household questionnaire completed: A household questionnaire is considered as completed if most of its variables have been filled in. 21-24 Interview not completed: In the case of an interview survey, at least three call-backs must be made before a household is considered as being non-responsive (interview not completed), unless there are clear reasons (such as a definite refusal to cooperate, circumstances endangering the safety of the interviewer, etc.) why this household cannot be interviewed. The interview has not been completed for some of the following reasons: 21 Refusal to cooperate The household refuses to give information either from the beginning of the interview or having initially agreed to provide the information, refuses to do so at a later date (for any reason). The interviewers should do their best to get cooperation not only by explaining the survey, but also by calling back again when an appointment is broken. 22 Entire household temporarily away for duration of fieldwork An entire household is temporarily away when all its household members are temporarily away and will not return during the period when fieldwork is being carried out in the area. Before declaring a household as being temporarily away, the interviewer must ensure that all necessary attempts to contact the household have been made (visiting the household at different hours, different days, calling by phone, etc.). 23 Household unable to respond (illness, incapacity, etc.) This situation appears when either all household members are unable to respond to the interview or are unable to self-administer the questionnaires due to incapacity, illness etc. In the case where a one-person household is unable to respond to or self-administer the questionnaire due to incapacity or illness, the interviewer should, if feasible, try to contact someone outside the household who is able to help or provide the information on behalf of the incapacitated person. The interviewer must only assign the code ‘household unable to respond’ when the illness or incapacity is not temporary; where the illness or incapacity is temporary, the interviewer should return to the household during the period when fieldwork is being carried out in the area."
DB135,HOUSEHOLD INTERVIEW ACCEPTANCE,"The interview must be accepted for the database if at least one of the personal interviews is completed. In those countries for which a selected respondent is chosen for the personal interview, the interview of the selected respondent must be completed."
HB010,YEAR OF THE SURVEY,"Year in which the survey data collection, or most of the collection, is carried out."
HB020,COUNTRY OF RESIDENCE,"The country of residence is the country in which the person/household has his/her usual residence. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO which is largely based on the International Organization for Standardization (ISO) 3166 country codes (3166-1 alpha-2). The SCL GEO is available here: https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=CL_G EO&StrLanguageCode=EN&IntPcKey=&StrLayoutCode=HIERARCHIC. Information on the country of residence should be obtained in accordance with the current national boundaries. To the extent to which all possible participants in a specific social micro data-collection need to be usual residents, and the country of residence of all the reporting units corresponds to the reporting country. Consequently, a reference question is not needed for this variable. Country of residence with the year and ID, is an important variable used as key to merge different files."
HB030,HOUSEHOLD ID,"Every household will receive a household number. This number is the base upon which to construct the Household ID and the Personal ID. It should be a sequential number and should not contain other information. It must NOT contain any information that conflicts with confidentiality rules. This number must be unique for all the years of the survey. This number is used as a key variable for analysis purpose, for sampling, tracking rules and followed up. Household ID (maximum nine digits) = Household number (maximum seven digits) + split number (two digits) The split number for the first wave will always take value ‘00’. In the case of the household remaining entire, it keeps the Household number and Split number from one wave to the next. In the case of a split-off, the initial household will keep the Household number and Split number from one wave to the next. The other households, i.e. the split-off households will keep the same Household number, but will be assigned the next available unique Split number in sequence. In the case of a fusion of two sample households, if the new household remains at a previous address, it must retain the Household number and Split number of the household that was at that address in the previous wave. If the new household is at a new address, the Household number and Split number of the household of the sample person who now has the lowest person number in ‘the household register’ will be retained."
HB040,DAY OF HOUSEHOLD INTERVIEW,"‘Day of household interview’ means the day in which the data are collected, or the household is interviewed."
HB050,MONTH OF HOUSEHOLD INTERVIEW,"‘Month of household interview’ means the month in which the data are collected, or the household is interviewed."
HB060,YEAR OF HOUSEHOLD INTERVIEW,‘Year of household interview’ means the year in which the data is collected or the household is interviewed.
HB070,PERSON RESPONDING TO THE HOUSEHOLD,"The household respondent is the person from whom household-level information is obtained. Given that the household-level response is going to be attributed to all household members, it is essential that the information be collected from someone who can, in some sense, ‘speak for’ the household. For instance, if the ‘selected respondent’ is the 16-year old son or daughter, this person is highly unlikely to be able to provide good quality information on such issues as mortgage or rent payments, housing costs, income from family and other benefits. The household respondent will be chosen according to the following priorities: Priority (1): the person responsible for the accommodation Priority (2): a household member aged 16 and over who is the best placed to provide the information. For the second and following waves, the household respondent will be chosen according to the following list of priority: Priority (1): the household respondent in the last wave Priority (2): a ‘sample person’ aged 16 and over giving priority to the person responsible for the accommodation or the best placed to provide the information. Priority (3): a ‘non-sample person’ aged 16 and over."
HB100,NUMBER OF MINUTES TO COMPLETE THE,The value of this variable refers to the count of minutes required to fill the household interview.
HB110,HOUSEHOLD TYPE,"The household grid (R file variables - RG_Z#: GRID) provides basic information for constructing this variable. This variable was introduced as part of the list of standardised variables and will be implemented from 2021 onwards. Therefore, in those cases where the grid or the age of children is missing this variable should have the value missing and the flag ‘-1’ should be filled. Household type is defined by a private household composition, where: - A 'couple' is defined as a pair of individuals considered as partners in terms of their actual living arrangements within the household, regardless of whether the relationship with the partner is legally registered (e.g., marriage or civil union) or a de facto relationship (cohabiting partners). - The term 'child(ren)' refers to the presence of son(s) or daughter(s) in the household, either natural/adopted or stepson/stepdaughter. 'Natural/adopted son/daughter or stepson/stepdaughter' refers to a natural (biological), adopted or step member of the family (regardless of age or partnership/relationship status) who has usual residence in the household of at least one of the parents. 'Adoption' means taking and treating a biological child of other parents as one's own in so far as provided by the laws of the country whereby means of a judicial process the adopted child - whether related or not to the adopter - acquires the rights and status of a biological child born to the adopting parents. 'Stepson/stepdaughter' refers to a situation in which a stepparent treats the child of his/her partner as one's own in so far as provided by the laws of the country, without adopting it; and foster children and children-in-law are not covered by this category. - A 'lone parent' is a parent not living with a (legal or de facto) partner in the same household who has most of the day-to-day responsibilities in raising the child or children. - Other type of households are those which do not fall in any of the above categories."
HB120,HOUSEHOLD SIZE,"The household grid will provide basic information for constructing this variable. The variable should take into consideration current situation (moving out and moving in, died, born, etc.). It will count all current household members, RB110: MEMBERSHIP STATUS=1, 2, 3 or 4. The variable reports on the number of members of a private household. This variable is introduced as part of the list of standardised variables and will be implemented from 2021 onwards. When the information is collected during the interview the recommended question should be: ""How many people usually live in your household? Please include yourself."""
HB130,INTERVIEW MODE USED (HOUSEHOLD),"This variable is standardised variable. It will be implemented from 2021 onwards. The category concepts describe the interviewing mode (more predominantly) used to collect information from the respondent, whether PAPI, CAPI, CATI, CAWI, or other. The variable aims to collect the interview mode used for household questionnaire. When some variables are collected from administrative data and the main interview is done using CAPI mode then option ‘2’ Computer assisted personal interview (CAPI) should be recorded. The variable for personal interview time is included in P file - PB120: minutes to complete the personal questionnaire. The category 'other' is to be chosen when the interviewing mode used is not covered by the given variable categories, e.g. paper assisted self-administered interview (PASI), or non-web-based computer assisted self- administered interview (CASI). For example, information may have been collected combining interview data with data obtained from registers (i.e. administrative data) or imputed data. In addition, different interviewing modes may as well be combined (i.e. mixed-mode interview). In such cases, the interviewing mode more predominantly used should be reported. For example, in a situation where a person has been first contacted by phone and some data (main part) has been collected via computer assisted web-interview (CAWI) but the missing data (remaining part) is collected at a later stage via computer assisted personal interview (CAPI), the variable should report on CAWI as the interviewing mode used. Specific rules concerning quality reporting may be provided for each micro-data collection. When administrative and survey data and/or different interviewing modes are combined–, it is recommended to retain the information on the data collection method and on the interviewing mode used at the variable level. This will help assessing impact of the interviewing mode on the survey results."
HH010,DWELLING TYPE,"This variable is standardised variable. Building: A building is defined as any independent structure containing one or more dwellings, rooms or other spaces, covered by a roof and enclosed within external walls or dividing walls which extend from the foundations to the roof. Thus, a building may be a detached dwelling, apartment building, etc. It is recommended that countries follow the former practice by counting each house in the row house unit as an individual building. Dwelling is generally defined as a room or suite of rooms and its accessories (e.g., lobbies, corridors) in a permanent building or structurally separated part thereof, which, by the way it has been built, rebuilt or converted, is designed for habitation by one private household. It should have separate access to the street, direct or via a garden or grounds, or to a common space within the building (staircase, passage, gallery, etc.), but it does not necessarily need to have a bathroom or toilet available for the exclusive use of its occupants. Accommodations that are situated in buildings that are for use other than housing (schools,…) and fixed habitation like a hut or a cave are included. A building with two entrances will be considered as one single building if one can access all apartments from both entrances; otherwise, it will be two separate buildings. House: House means that no internal space or maintenance and other services are normally shared with other dwellings. Sharing of a garden or other exterior areas is not precluded. Detached: Detached means the dwelling has no common walls with another dwelling. If it is a separate building, without any common walls or celling with other dwelling is counted as a detached house. Semi-detached: Semi-detached refers to two dwellings sharing at least one wall, and ‘terraced’ refers to a row of (more than two) joined-up dwellings, we would consider houses in which are more than one dwelling, sharing at least one wall (or ceiling) but have separate entrances. Apartments or flats: Apartments or flats in a building normally share some internal space or maintenance and other services with other units in the building. Apartments or flats in a building normally share some internal space or maintenance and other services with other units in the building. Commonly there is also shared entrance to the building as such. Other kind of accommodation: Other kinds of accommodation include accommodations that are situated in buildings that are for use other than housing (i.e., schools) and fixed habitations like a hut or a cave."
HH021,TENURE STATUS,"This variable is a standardised variable. From the 2010 operation onwards, it replaces the variable HH02030. Ownership: The owner of the accommodation should be a member of the household. If for instance the accommodation is provided by a relative (such as by parents to their children) who is not a member of the household, then one of the other categories should be selected, depending on whether or not rent is paid by this household. A person is an owner if he/she possesses a title deed independently of whether the house is fully paid or not. A reversionary owner should be considered as the owner. In both variables HH070 and HH021 mortgage is taken into account only when it has been taken for the purpose of purchasing main dwelling. Outright owner: The owner is considered as 'outright owner' when he/she has no mortgage to pay for his/her main dwelling. An owner who has a mortgage only for a second dwelling and/or for repairs, renovation, maintenance, etc. should be treated as 'outright owner'. Owner paying mortgage: An owner is considered as an 'owner paying mortgage' when he/she has to pay 30 An agreement was made at the Living Conditions Working Group meeting in June 2009 that the variable HH020 will be replaced by the variable HH021 with five answer categories. In 2010, the LC WG agreed to suppress HH020 and to keep only HH021 from the 2011 operation onwards."
HH030,NUMBER OF ROOMS AVAILABLE TO THE,"Room: A room is defined as a space of a housing unit of at least four square meters such as bedrooms, dining rooms, living rooms and habitable cellars, attics, kitchens and other separated spaces used or intended for dwelling purposes with a height over two meters and accessible from inside the unit. Kitchens are only excluded if the space is used only for cooking. A single room used as kitchen-cum-dining room is included as one room in the count of rooms. The following space of a housing unit does not count as a room: bathroom, toilet, corridor, utility room, lobby and veranda. A room used solely for business use is excluded but is included if shared between private and business use. If the dwelling is shared by more than one household and some rooms are shared with other households (within the same dwelling), the number of shared rooms should be divided by the number of households and the equal share should be added to each household. This variable can consequently be coded with one decimal. In the case of several households sharing a unique room, the variable is coded to ‘1’ (zero is difficulty interpretable). This variable is supposed to collect only the first wave households and to be reported annually. In such cases that the household has moved from the previous address this information should also be collected even for the households in the new address. Suggested question: How many rooms does your household have altogether in your main residence that is excluding kitchen, bathrooms, toilets, corridors and lobby? (A room is defined as a space of at least four square meter in a housing unit)."
HH050,ABILITY TO KEEP HOME ADEQUATELY WARM,"This question is about affordability (ability to pay) to keep the home adequately warm, regardless of whether the household actually needs to keep it adequately warm. Suggested question is: Can your household afford to keep its home adequately warm?"
