Variable	Short_description	Long_description
RB120	 Location where the person moved 	"Destination of moved-out individuals (e.g., within country, abroad, lost)."
RB200	 Residential status 	Whether person is currently living in the household or temporarily absent.
RB211	 Main activity status (self-defined) 	"Self-perception of main activity (e.g., employed, student, retired); not derived from objective criteria."
RB220	 Father ID 	"Derived identifier of father from household grid; includes legal, adoptive or stepfathers."
RB230	 Mother ID 	Derived identifier of mother; based on household structure and legal relationship.
RB240	 Spouse/partner ID 	Identifier for spouse or consensual partner in the same household.
RB245	 Respondent status 	"Identifies if the person was the main or selected respondent, or ineligible (e.g., <16 years old)."
RB250	 Data status 	"Details how the interview or data were completed: by interview, register, imputation, etc."
RB280	 Country of birth 	Country of usual residence of the mother at time of respondent's birth; used to classify native vs. foreign-born.
RB285	 Duration of stay in the country of residence in completed years 	Years since last establishment of usual residence in the reporting country.
RB290	 Country of main citizenship 	"Main country of legal citizenship; used to identify nationals, foreigners, stateless."
RL010	 Education at pre-school 	Hours per week spent in formal pre-primary education (ISCED 0).
RL020	 Education at compulsory school 	Weekly hours spent in compulsory schooling (primary and lower secondary).
RL030	 Childcare at centre-based services [outside school hours (before/after)] 	Hours per week spent in centre-based services outside school hours.
RL040	 Childcare at day-care centre 	Organized/regulated care including cr√®ches and institutional family day-care.
RL050	 Childcare by a professional child-minder at child’s home or at child-minder’s home 	"Paid, non-institutional care by babysitters, au pairs, or hired relatives."
RL060	" Childcare by grand-parents, household members other than parents, other relatives, friends or neighbours "	"Unpaid care by grandparents, relatives, neighbors, or household members."
RL070	 Childrens’ cross-sectional weight for childcare 	Weight variable used for analyzing childcare-related data in a representative manner for children covered by the childcare module. Applies to all children aged 12 or younger for whom variables RL010 to RL060 are collected. Follows EU-SILC weighting methodology with a format of 2 integers and 5 decimals.
RG_Z#	 Grid 	Technical variable used to transmit the household grid structure for processing within Eurostat's systems. It supports structural consistency checks and file linking procedures. The '#' represents a placeholder for the grid sequence.
PB010	 Year of the survey 	The year in which the majority of the personal interview or data collection took place. It is used to identify the wave of participation and align the data across other EU-SILC files.
PB020	 Country of residence 	"The country in which the person has their usual residence, coded using the standardized Eurostat geographic classification (SCL GEO code)."
PB030	 Personal ID 	A unique identifier composed of the Household ID and a personal number. The ID remains constant across waves and enables longitudinal tracking of individuals.
PB040	 Personal cross-sectional weight [all household members aged 16 and over] 	A weight variable indicating the individual’s representativeness in cross-sectional analyses. Typically coded with 1 integer and 5 decimals.
PB050	 Personal base weight [all household members aged 16 and over] 	"Initial, uncalibrated weight assigned to individuals based on sampling design. Referenced in construction of final calibrated weights."
PB060	 Personal cross-sectional weight for selected respondent 	Cross-sectional weight specific to the selected respondent. Used when data is collected through a designated respondent model.
PB070	 Personal design weight for selected respondent 	Design-based weight for the selected respondent prior to post-stratification or calibration.
PB080	 Personal base weight for selected respondent 	"Base (uncalibrated) weight for selected respondents, used in constructing the design weights."
PB090	 Day of the personal interview 	"Day (1–31) on which the personal interview was conducted. If collected from registers, this corresponds to the data extraction date."
PB100	 Month of the personal interview 	Month (1–12) in which the personal interview or data extraction took place.
PB110	 Year of the personal interview 	The year when the personal interview occurred. This value is predefined and corresponds to the survey operation year.
PB120	 Minutes to complete the personal questionnaire 	Number of minutes required to complete the personal module during the interview.
PB140	 Year of birth 	Reported or derived year of birth of the person. Used to calculate age and eligibility for modules.
PB150	 Sex 	Biological and physiological characteristics classifying the person as male or female. Can be self-reported or sourced from administrative records.
PB160	 Father ID 	"Identifier of the father within the household, derived from the household grid. Includes adoptive or stepfathers recognized legally."
PB170	 Mother ID 	"Identifier of the mother within the household, derived from the household grid. Includes adoptive or stepmothers recognized legally."
PB180	 Spouse/partner ID 	"ID of the spouse or partner living in the same household, including consensual unions. Derived from household grid."
PB190	 Marital status 	"Legal marital status of the respondent. Includes married, single, widowed, separated or divorced."
PB200	 Consensual union 	Indicates whether the individual is in a consensual (informal or non-marital) partnership.
PB205	 Partners living in the same household 	Indicates whether the individual cohabits with their partner (legal or informal). Derived or directly asked.
PB230	 Country of birth of father 	"The country where the person's father was born, based on the current boundaries. If unknown, a placeholder (e.g., 'foreign-born') is used. Aimed at identifying migration background."
PB240	 Country of birth of mother 	"Country of birth of the person's mother. The response reflects the mother's birthplace or her residence at the time of childbirth, depending on availability."
PB260	 Nature of participation in the survey 	Indicates whether the respondent directly participated in the interview or if a proxy answered on their behalf. Important for data quality assessment.
PB265	 Personal ID of person who filled in the individual questionnaire 	Personal ID of the person (self or proxy) who actually provided responses to the personal interview.
PB270	 Interviewing mode used (person) 	"Indicates the method used to conduct the personal interview (e.g., PAPI, CAPI, CATI, CAWI). Relevant for assessing mode effects."
PE010	 Participation in formal education and training (student or apprentice) 	"Indicates whether the person is currently enrolled in a formal educational programme (including as an apprentice), as defined by ISCED."
PE021	 Level of current/most recent formal education or training activity 	Describes the ISCED level of the formal education programme the respondent is currently or most recently enrolled in.
PE041	 Educational attainment level 	"Highest level of education successfully completed, classified according to ISCED-2011, considering both general and vocational qualifications."
PH010	 Self-perceived General health 	"Respondent's self-assessment of their general health status (very good to very bad), part of the Minimum European Health Module (MEHM)."
PH020	 Suffer from any chronic [long-standing] illness or condition 	"Indicates whether the respondent has a chronic or long-standing health problem, defined as lasting or expected to last 6 months or more."
PH030	 Limitation in activities because of health problems 	"Captures whether the respondent is limited in activities due to a health problem for at least the past 6 months (e.g., severely limited, not limited)."
PH040	 Unmet need for medical examination or treatment 	Captures whether a person aged 16+ needed but did not receive medical care in the past 12 months. Includes delays and unmet perceived needs. Excludes dental care and self-medication. Based on the respondent's own evaluation.
PH050	 Main reason for unmet need for medical examination or treatment 	"Identifies why a respondent did not receive needed medical care: cost, waiting list, time constraints, transportation, fear, or lack of knowledge of specialists. Follows PH040 when unmet need is reported."
PH060	 Unmet need for dental examination or treatment 	"Assesses if respondents aged 16+ needed but did not receive dental care. Includes preventive and emergency dental services, excludes self-medication and medical care."
PH070	 Main reason for unmet need for dental examination or treatment 	"Follows PH060 and captures the reason for unmet dental needs: affordability, waiting times, time limitations, fear, or lack of access. Collected via personal interview."
PD020	 Replace worn-out clothes by some new (not second-hand) ones 	"Indicates if the respondent can afford to replace worn-out clothing (e.g., coats, pants) with new ones. Excludes fashion-related preferences. Assesses material deprivation."
PD030	 Two pairs of properly fitting shoes [including a pair of all-weather shoes] 	"Measures whether the respondent owns two pairs of fitting shoes suitable for daily use, including all-weather types. Captures basic clothing adequacy."
PD050	 Get-together with friends/family [relatives] for a drink/meal at least once a month 	Captures ability to maintain regular social contacts by meeting friends or family monthly. Reflects financial and social aspects of deprivation.
PD060	 Regularly participate in a leisure activity 	"Evaluates whether respondents engage in leisure activities outside the home (e.g., sport, cinema) that usually involve some cost. Highlights cultural inclusion."
PD070	 Spend a small amount of money each week on yourself 	"Measures whether the respondent can afford minor personal expenses weekly (e.g., coffee, magazines, haircuts). Reflects material autonomy."
PD080	 Internet connection for personal use at home 	"Assesses access to personal-use internet at home, including via smartphones, computers, or other devices. Reflects digital inclusion."
PW010	 Overall life satisfaction 	"Subjective evaluation of satisfaction with life as a whole, rated on a scale from 0 (not satisfied) to 10 (completely satisfied). Reflects well-being."
PW191	 Trust in others 	"Respondent’s level of social trust in unknown people, rated 0 (no trust) to 10 (complete trust). Excludes family, friends, and known individuals."
PL016	 Existence of previous employment experience 	"Indicates whether a person has previous employment experience: none, only occasional, or substantive. Based on ILO definitions and duration/continuity of past work."
PL032	 Self-defined current economic status 	"The respondent’s current main activity status based on self-perception (e.g., employed, unemployed, retired). Only one category is chosen, reflecting how the respondent views their principal status at the time of interview. Not derived from official criteria but based on how the respondent spends most of their time_133†Personal data (P-file)-64-209.pdf_."
PL040A	 Status in employment (main job) 	"Describes the type of employment for the respondent’s current main job (e.g., self-employed with/without employees, employee, unpaid family worker). Classification based on ICSE-93. Applies only to those working, with definitions sensitive to employment conditions and job responsibilities_133†Personal data (P-file)-64-209.pdf_."
PL040B	 Status in employment (last job) 	"Indicates employment status in the respondent’s most recent job if not currently employed. Applies to those with prior work experience. Uses ICSE-93 classification and captures status like self-employed, employee, or family worker_133†Personal data (P-file)-64-209.pdf_."
PL051A	 Occupation in main job 	Classifies the respondent’s main job using ISCO-08 codes. The occupation reflects the set of tasks or duties performed. The main job is defined as the one with the most usual working hours_133†Personal data (P-file)-64-209.pdf_.
PL051B	 Occupation (last job) 	Uses ISCO-08 codes to define the occupation of the last job held by someone not currently employed but with prior work experience. The job with the most hours is considered the main one_133†Personal data (P-file)-64-209.pdf_.
PL060	 Number of hours usually worked per week in the main job 	"Indicates the number of hours usually worked per week by the respondent in their main job, excluding time spent commuting and main meal breaks."
PL073	 Number of months spent in full-time work as employee 	Counts months during which the respondent was in full-time employment as an employee during the income reference period. Status is self-defined but uses priority rules for economic activities. Includes maternity/paternity leave and considers spontaneous full-time designation based on hours worked. Excludes self-employment or family worker time_141†Personal data (P-file)-75-209.pdf_.
PL074	 Number of months spent in part-time work as employee 	Captures part-time employment durations as an employee across the income reference period. Derived using the respondent's activity calendar and prioritizes self-perception. Cross-checked with typical working hour definitions (rarely >35 hours for part-time)_141†Personal data (P-file)-75-209.pdf_.
PL075	 Number of months spent in full-time work as self-employed [including family worker]	Includes months spent in full-time self-employment or as a family worker. Covers agricultural and non-agricultural activities. Status is based on perceived main activity. Excludes employees or inactive individuals. Priority given to main job and spontaneous classification_141†Personal data (P-file)-75-209.pdf_.
PL076	 Number of months spent in part-time work as self-employed [including family worker]	"Covers months where the respondent worked part-time as a self-employed or family worker. Respondents select the activity category based on the role occupying most of their time. Excludes unpaid or voluntary work, with special codes for seasonal or variable workers_141†Personal data (P-file)-75-209.pdf_."
PL080	 Number of months spent in unemployment 	"Measures the duration the respondent considered themselves unemployed, even if not officially registered. Allows overlap with minor jobs. Respondent’s self-assessed status is used, not strict ILO criteria. Derived from the calendar of activity_141†Personal data (P-file)-75-209.pdf_."
PL085	 Number of months spent in retirement 	Counts the number of months during the income reference period the respondent considered themselves retired. This includes those receiving pensions or who stopped work due to age-related reasons. Early retirement due to health issues can be classified here if self-perceived. Maximum of 12 months when combined with other calendar variables.
PL086	 Number of months unable to work due to long-standing health problems 	Captures months when the respondent was unable to work due to chronic health issues. Based on self-assessment and independent of receiving disability benefits. Can include persons in early retirement due to health if they identify as unable to work.
PL087	 Number of months spent studying 	Reflects time spent in formal education or unpaid internships during the income reference period. Paid apprentices may report as employed. Prioritizes main activity based on self-assessment.
PL088	 Number of months spent in compulsory military service	Indicates participation in compulsory military or civilian service during the income reference period. Based on self-assessed main activity and excludes those not of age or inapplicable contexts.
PL089	 Number of months spent fulfilling domestic tasks 	Time spent performing household duties including child-rearing. Used when respondents identify this as their main activity. Can overlap with minor employment or volunteering.
PL090	 Number of months spent in other inactivity 	"Captures time in inactivity not elsewhere classified, such as volunteering or informal activity. Used when no other category fits and should reflect the main use of time."
PL100	" Total number of hours per week usually worked in the second, third jobs"	Number of hours usually worked weekly in additional jobs (not the main job). Excludes commute and meal breaks. Asked only if multiple jobs exist.
PL111A	 Economic activity of the local unit for the main job 	"Based on NACE Rev.2 classification, this describes the industry or sector of the respondent’s main job location. Applies only to employed individuals."
PL111B	 Economic activity of the local unit (last job) 	Industry classification (NACE Rev.2) of the last job held by the respondent if no longer employed. Applies to working-age persons with previous job experience.
PL141	 Permanency of main job 	Indicates whether the respondent's job is permanent or fixed-term. Includes distinctions for written or verbal contracts. Applies to employees only.
PL145	 Full or part-time main job (self-defined) 	Respondent's own perception of whether their main job is full-time or part-time. Based on usual hours compared to similar workers in same sector.
PL150	 Supervisory responsibility in the main job 	"Captures whether the respondent supervises other employees in their main job. Excludes apprentices, trainees, or quality control roles."
PL200	 Number of years spent in paid work [as employee or self-employed] 	Total number of years the respondent worked in paid employment or self-employment. Excludes casual or student jobs unless regular.
PL211A	 Main activity in January 	"Main activity performed during January, self-assessed among employment, study, domestic tasks, etc. Prioritizes economic over non-economic activities."
PL211B	 Main activity in February 	"Same coding and rules as PL211A but refers to February. Categories include full-/part-time employment, self-employment, student, retired, and others."
PL211C	 Main activity in March 	"Self-reported primary activity during March. In case of multiple activities, respondents choose based on the most time spent or priority rules."
PL211D	 Main activity in April 	"Represents the respondent’s main activity during April. Prioritizes employment and is self-reported with options like unemployed, student, retired, etc."
PL211E	 Main activity in May 	"Same structure as PL211D, asking the respondent to choose their main activity during May. Uses self-assessed categorization and priority hierarchy."
PL211F	 Main activity in June 	Respondent’s primary self-defined activity for June. Rules prioritize work over other types of engagement when overlaps exist.
PL211G	 Main activity in July	Identifies the respondent’s main activity in July using standardized categories. Asked of individuals 16+ as part of the activity calendar.
PL211H	 Main activity in August 	"August activity reported by the respondent. Includes employment, study, domestic work, and others. Based on how most time was spent."
PL211I	 Main activity in September 	Same format and purpose as other PL211 variables. Captures self-defined activity status during September using standard monthly codes.
PL211J	 Main activity in October 	Reports primary activity in October. Used to track monthly status over the reference period. Respondent decides based on how time was spent.
PL211K	 Main activity in November 	"Final entry of monthly activity series, recording the respondent’s main activity in November. Same rules of self-assessment and economic priority apply."
PL211L	 Main activity in December 	"Self-declared main activity during December, chosen from a fixed list (e.g., full-time employee, part-time self-employed, student, unemployed). Priority is given to economic over non-economic activities, and respondents choose based on how they spend most of their time_159†Personal data (P-file)-125-209.pdf_."
PL271	 Duration of the most recent unemployment spell 	"Number of months the respondent was unemployed in the last five years. Based on self-perception of unemployment, not administrative registration. Used in modeling unemployment benefits eligibility. Collected annually_159†Personal data (P-file)-125-209.pdf_."
PY010G	 Gross employee cash or near cash income 	"Covers total remuneration paid by employers for work done, including wages, salaries, bonuses, and cash supplements. Gross values include taxes and social contributions, while net values exclude them. Paid holidays, overtime, and tips are included; reimbursements and employer insurance contributions are excluded_159†Personal data (P-file)-125-209.pdf_."
PY010N	 Net employee cash or near cash income 	"Covers total remuneration paid by employers for work done, including wages, salaries, bonuses, and cash supplements. Gross values include taxes and social contributions, while net values exclude them. Paid holidays, overtime, and tips are included; reimbursements and employer insurance contributions are excluded_159†Personal data (P-file)-125-209.pdf_."
PY020G	 Gross non-cash employee income 	"Refers to fringe benefits such as company car, free meals, or subsidised housing. Includes only private-use portions. Calculated as market value or difference between market value and employee payment. Excludes work-essential tools or work-related services_159†Personal data (P-file)-125-209.pdf_."
PY020N	 Net non-cash employee income 	"Refers to fringe benefits such as company car, free meals, or subsidised housing. Includes only private-use portions. Calculated as market value or difference between market value and employee payment. Excludes work-essential tools or work-related services_159†Personal data (P-file)-125-209.pdf_."
PY021G	 Company car 	"Gross valuation of private use of company car, based on either declared tax values, macro-estimated depreciation, or equivalent rental costs. Includes associated costs like fuel or insurance when privately used. Excludes business-only cars_159†Personal data (P-file)-125-209.pdf_."
PY021N	 Company car 	"Net valuation of private use of company car, based on either declared tax values, macro-estimated depreciation, or equivalent rental costs. Includes associated costs like fuel or insurance when privately used. Excludes business-only cars_159†Personal data (P-file)-125-209.pdf_."
PY030G	 Employer’s social insurance contribution 	"Mandatory or contractual payments by employers to pension, health, or insurance funds for employees. Includes statutory and sectoral contributions to public or private schemes. Does not include voluntary employer contributions_159†Personal data (P-file)-125-209.pdf_."
PY035G	 Gross contributions to individual private pension plans 	"Covers discretionary contributions to private pension policies made by the individual, unrelated to employers or the state. Supports retirement, disability, or sickness plans. Net amounts exclude tax and social contributions_159†Personal data (P-file)-125-209.pdf_."
