Variable Name,Short Description,Long Description (Summarized)
RB032,SEQUENTIAL NUMBER OF THE PERSONS IN THE,Example: Wave 2 HH number Split number HH number Split number 123 00 01 123-00-01 123 00 01 123-00-01 123 00 02 123-00-02 123 00 02 123-00-02 123 00 03 123-00-03 123 00 03 123-00-05 123 00 04 123-00-04 123 00 05 123-00-05 HH number Split number RB032 Personal id HH ID 123 01 01 123-00-03 123 01 02 123-00-04 123 01 03 123-01-01 RB032 Personal id RB032 Personal id Wave 1 HH ID HH ID. The number should be unique for each current household member.
RB040,CURRENT HOUSEHOLD IDENTIFICATION (ID),"Household ID (maximum nine digits) = Household number (maximum seven digits) + split number (two digits) When there is no change in the household composition between waves, it keeps the Household number and Split number from one wave to the next. In the case of a fusion of two sample households, if the new household remains at a previous address, it shall retain the Household number and Split number of the household that was at that address in the previous wave."
RB050,PERSONAL CROSS-SECTIONAL WEIGHT,"0+ (format 2.5) Weight (see the required format) 1 -7 Filled Not applicable (RB010 not equal to “last year of operation""). See construction of weights in chapter ‘Weights’ These weights had to be coded with two integers and five decimals."
RB060,PERSONAL BASE WEIGHT,"In practice, personal cross-sectional weights will be coded with at least one integer and five decimals. The personal base weight can have the value 0, namely for non-panel persons."
RB062,LONGITUDINAL WEIGHT [TWO-YEAR DURATION],"0+ (format 2.5) Weight (see the required format) 1 -1 -2 Filled Missing Not applicable (only one year trajectory for the individual, i.e., individual in first wave). Longitudinal weights are constructed after all other set of weights are defined for the y-1."
RB063,LONGITUDINAL WEIGHT [THREE-YEAR,"0+ (format 2.5) Weight (see the required format) 1 -1 -2 Filled Missing Not applicable (less than three-year trajectory for the individual, i.e., individual in first or second wave). See construction of weights in chapter ‘Weights’."
RB064,LONGITUDINAL WEIGHT [FOUR-YEAR DURATION],"0+ (format 2.5) Weight (see the required format) 1 -1 -2 Filled Missing Not applicable (less than four-year trajectory for the individual, i.e. Only panel 4 with data from years (Y-3) to Y contributes to this set."
RB065,LONGITUDINAL WEIGHT [FIVE-YEAR DURATION],"0+ (format 2.5) Weight (see the required format) 1 -1 -2 -5 -7 Filled Missing Not applicable (less than five-year trajectory for the individual, i.e., individual in first, second, third or fourth wave) Not applicable (country has a four-year panel) Not applicable (RB010 < 2021). See construction of weights in chapter ‘Weights’."
RB066,LONGITUDINAL WEIGHT [SIX-YEAR DURATION],"0+ (format 2.5) Weight (see the required format) 1 -1 -2 -5 -7 Filled Missing Not applicable (less than six-year trajectory for the individual, i.e., individual in first, second, third, fourth or fifth wave47) Not applicable (country has a four-year panel) Not applicable (RB010 < 2021). Countries having 4 years panel will use flag not applicable."
RB080,YEAR OF BIRTH,"When asking for the passing of birthday at the time of the interview, the following questions are recommended: ""What is your year of birth? Have you already had your birthday this year?"" At data collection level, the exact date of birth might be asked directly to the respondents. This variable is supposed to be collected during the first interview (the first wave), however needs to be transmitted to Eurostat annually."
RB081,AGE IN COMPLETED YEARS (AT THE END OF,"The quality reporting related to the variable 'age in completed years' should contain information on the number of records for which information on the age in completed years is imputed and this imputed value should be reported in the flags. When asking whether the birthday has passed at the time of the interview, it is recommended to use the following question: ""What is your year of birth? Have you already had your birthday this year?"" Age."
RB082,AGE IN COMPLETED YEARS AT THE TIME OF THE,"When asking whether the birthday has passed at the time of the interview, the following questions are recommended: ""What is your year of birth? Have you already had your birthday this year?"" In case the reference date is not the time of the interview, the question has to be adapted, clearly explaining which reference date the passing of birthday should refer to. The quality reporting related to the variable 'age in completed years' should contain information on the number of records for which information on the age in completed years is imputed and this imputed value should be reported in the flags."
RB083,PASSING OF BIRTHDAY AT THE TIME OF THE,"Use of the following questions are recommended: ""Have you already had your birthday this year?"" At data collection level, the exact date of birth might be asked directly to the respondents. In this case the recommended question is: ""What is your date of birth?"" (DD/MM/YYYY)."
RB090,SEX,"In cases where the biological sex of a person is not known, the information may be replaced by either the information from administrative data or the self-declared sex (survey data). Depending on the data collection mode or information being available from administrative sources it might not be necessary to collect this information from respondents directly."
RB100,SAMPLE PERSON OR CO-RESIDENT,"In the second wave and so forth, the co-residents will be those household members that are aged less than 16 (at the moment of the sample selection) plus household members who joined a sample household after the first wave. Implementation For countries selecting a sample of households (addresses) and using the Eurostat integrated design, each sub-sample will be a panel and it will be followed over the course of four years."
RB110,MEMBERSHIP STATUS,"If more than one sample person lived in the household at the time of the wave x and still live in that address at the time of the wave x+1 but in different households, the initial household is the household of the sample person still living at the initial address who has the lowest person number referred to in Annex III. Where a person regularly lives in more than one dwelling, the dwelling where that person spends the greater part of the year shall be taken to be his or her place of usual residence, regardless of whether it is located elsewhere within the country or abroad."
RB120,LOCATION WHERE THE PERSON MOVED,"Respondents who moved to a different private household in the country should be followed and interviews in the following waves of the survey. Respondents who are coded 2, 3 or 4 are not within the survey scope and should not be followed and interviewed in the next wave."
RB200,RESIDENTIAL STATUS,"Temporarily absent: A household member is temporarily absent because he/she is: • In hospital/nursing home • In full-time educational institute • Military service or equivalent • Other institution (prison etc.) • Working out of town • On travel • Other reasons Particular cases in application of the concept of usual residence is defined in Article 4, Commission implementing regulation 2019/2181. Flatmates or housemates occupying a housing unit on a house-sharing basis and sharing only house-related expenses, but not sharing household income, shall not be considered a part of a multi-person private household occupying this housing unit, even if they share some other subsidiary household expenses."
RB211,MAIN ACTIVITY STATUS (SELF-DEFINED),"For example: – Respondents can consider themselves being employed irrespective of their official labour market status, working time or kind of income from employment. – Respondents who are in various forms of vocational education or training that (partly) takes place at the work site can consider themselves as being in employment."
RB220,FATHER ID,"In the case of same-sex couples, the notion of father and mother can be replaced by parent 1 and parent 2 (in such situations a data checking error will be listed, and it should be ignored). It corresponds with the RB030 generated as: Personal ID = Household ID + personal number (two digits)."
RB230,MOTHER ID,"In the case of same-sex couples, the notion of father and mother can be replaced by parent 1 and parent 2 (in such situations a data checking error will be listed, and it should be ignored). It corresponds with the RB030 generated as: Personal ID = Household ID + personal number (two digits)."
RB240,SPOUSE/PARTNER ID,In such cases when a spouse or partner is not a household member than the respective flag for the variable RB240 should be filled as ‘-2’. 1 -1 -2 Filled Missing Not applicable (Have no spouse/partner or spouse/partner is not a household member).
RB245,RESPONDENT STATUS,"For countries using a sample of persons (selected respondent), only the values 2, 3 and 4 are applicable. For countries using a sample of households or addresses, only values ‘1’ and ‘4’ are applicable."
RB250,DATA STATUS,"− 1 -2 Filled Not applicable (RB245 not equal to 1, 2 or 3)."
RB280,COUNTRY OF BIRTH,"The following important exception to the general rule of considering the current borders might exist: a person whose mother’s place of usual residence was, at the time of his/her birth, part of the person’s actual country of origin (e.g. The country of birth of a person, who was born during the mother’s short-term visit to a country other than her country of usual residence, should be the country where the mother had her place of usual residence."
RB285,DURATION OF STAY IN THE COUNTRY OF,"The category 'number of years in this country (since last establishing the place of usual residence in this country)' are integer numbers describing the time span between the point in time when a person most recently established his/her usual residence and the reference date, in completed years. whether the person is native- or foreign-born) needs to be known prior to the collection of information for the variable 'duration of stay in the country of residence in completed years', as different questions need to be asked for the native-born and for the foreign-born."
RB290,COUNTRY OF MAIN CITIZENSHIP,"Information on the country of main citizenship is used to distinguish between national citizens (individuals having the citizenship of the reporting country), non-national citizens (individuals having the citizenship of a country other than the reporting country) and stateless persons. Citizenship is defined as the particular legal bond between the individual and his/her State acquired by birth or naturalisation, whether by declaration, choice, option, marriage or other means according to the national legislation."
RL010,EDUCATION AT PRE-SCHOOL,"Children stay over at pre-school during the lunch time: If during the lunch time, children are usually cared for by their parent at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. Suggested question: During a usual week how many hours does your child spend in pre-school (or equivalent to a pre-primary service such as Kindergarten or Nursery School)? 0−99 Number of hours of education during a typical week."
RL020,EDUCATION AT COMPULSORY SCHOOL,"Education at compulsory school: “Compulsory” school shall be understood as a mean to separate school from pre-school, but all the school hours must be included; primary and eventually secondary schools shall be included (children up to 12 years old at the day of interview). Children stay over at primary school during the lunch time: If during the lunch time, children are usually cared for by their mother or father at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present."
